epoch,train_loss,valid_loss,metric_idx,metric_idx,metric_idx,metric_tot,time
0,1.297337,0.289646,0.896111,0.957423,0.951623,0.925317,11:00
1,1.141863,0.218834,0.920489,0.971873,0.962039,0.943722,10:58
2,1.055575,0.206644,0.926246,0.972548,0.966902,0.947985,10:59
3,0.960672,0.175331,0.939668,0.972731,0.973440,0.956377,10:55
4,0.896147,0.171044,0.941029,0.974166,0.973179,0.957351,11:00
5,0.840643,0.156052,0.944780,0.977232,0.969612,0.959101,10:55
6,0.795573,0.151328,0.946570,0.978327,0.972529,0.960999,10:59
7,0.746025,0.139468,0.952346,0.978899,0.978307,0.965475,10:58
8,0.706856,0.142623,0.952669,0.979642,0.973923,0.964725,10:56
9,0.654984,0.137251,0.955649,0.981015,0.977348,0.967415,11:00
10,0.635607,0.131963,0.954010,0.982057,0.977446,0.966881,11:01
11,0.614381,0.130697,0.953666,0.982905,0.976439,0.966669,10:56
12,0.580318,0.130695,0.954335,0.982053,0.977480,0.967050,10:58
13,0.580504,0.124785,0.956934,0.984161,0.978018,0.969012,10:56
14,0.555552,0.125976,0.957295,0.983652,0.978161,0.969101,11:01
15,0.531297,0.122274,0.957203,0.983417,0.979658,0.969370,11:00
16,0.523189,0.127730,0.955243,0.984761,0.980368,0.968904,10:59
17,0.507845,0.123625,0.958232,0.984406,0.980039,0.970227,10:57
18,0.495080,0.123896,0.960112,0.985001,0.980004,0.971307,11:01
19,0.485053,0.125832,0.958906,0.984824,0.981745,0.971095,10:56
20,0.473917,0.125066,0.957089,0.984210,0.979721,0.969527,10:59
21,0.471655,0.125227,0.960288,0.985221,0.979950,0.971437,10:57
22,0.459238,0.127575,0.959478,0.985333,0.981108,0.971349,11:00
23,0.450221,0.126518,0.960708,0.985117,0.981502,0.972009,10:56
24,0.438631,0.126157,0.960668,0.985759,0.979466,0.971641,11:01
25,0.445701,0.127706,0.960559,0.984462,0.979934,0.971379,10:56
26,0.436645,0.126455,0.960443,0.985339,0.979125,0.971337,10:57
27,0.438014,0.126605,0.960667,0.985608,0.980620,0.971890,11:01
28,0.432802,0.127702,0.960741,0.985825,0.980986,0.972073,10:59
29,0.436216,0.130915,0.958358,0.985671,0.981066,0.970863,11:00
30,0.435448,0.128131,0.960306,0.985471,0.980742,0.971706,10:59
31,0.434116,0.127444,0.960951,0.985530,0.980331,0.971941,10:58
