epoch,train_loss,valid_loss,metric_idx,time
0,1.653641,0.859407,0.730456,06:55
1,1.515096,0.422436,0.862381,06:50
2,1.354090,0.316377,0.905598,06:51
3,1.271218,0.233097,0.929286,06:50
4,1.186834,0.212105,0.927480,06:51
5,1.119828,0.196118,0.938130,06:51
6,1.072501,0.208189,0.939828,06:50
7,1.015595,0.205707,0.930887,06:50
8,0.996370,0.183645,0.940437,06:50
9,0.929132,0.170933,0.946324,06:51
10,0.908805,0.166877,0.947933,06:52
11,0.898618,0.164793,0.946127,06:51
12,0.865716,0.188537,0.940655,06:53
